epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1819,1.35994,5.81255,0.00295,0.06501,0.19346,0.05263,0.03642,1.72005,4.36113,0.02092,0.000198165,0.000198165,0.0803817
2,134.996,1.22764,1.50333,0.00259,0.33874,0.15175,0.15566,0.11036,1.48935,3.19076,0.01709,0.00039815,0.00039815,0.0605816
3,190.96,1.11505,1.10872,0.00231,0.28549,0.30969,0.20877,0.14586,1.44981,2.58682,0.01583,0.000598072,0.000598072,0.0407816
4,247.665,1.11198,0.98848,0.00234,0.40043,0.36153,0.28344,0.19995,1.50078,2.50439,0.01495,0.000797884,0.000797884,0.0209814
5,303.154,1.07045,0.87997,0.00223,0.39044,0.19876,0.1749,0.12845,1.44178,3.46649,0.01594,0.000997541,0.000997541,0.00118103
6,358.797,1.05239,0.7778,0.00218,0.4317,0.27043,0.2529,0.17675,1.52786,3.10383,0.01838,0.000999023,0.000999023,0.000999023
7,414.552,1.01301,0.69616,0.0021,0.43058,0.33375,0.29254,0.21488,1.41486,2.74799,0.01467,0.000998594,0.000998594,0.000998594
8,469.736,0.99818,0.6845,0.00203,0.41427,0.32673,0.30538,0.22411,1.41675,2.73992,0.01716,0.000998086,0.000998086,0.000998086
9,525.346,1.00235,0.65923,0.00205,0.46007,0.27685,0.2619,0.18927,1.42077,2.9106,0.01555,0.000997501,0.000997501,0.000997501
10,580.474,0.96507,0.58738,0.002,0.47447,0.32168,0.30467,0.21974,1.43629,2.92847,0.01722,0.000996838,0.000996838,0.000996838
11,636.091,0.97005,0.59987,0.00197,0.41495,0.36856,0.30371,0.21911,1.40888,2.52602,0.01589,0.000996097,0.000996097,0.000996097
12,691.8,0.97967,0.63317,0.00202,0.44509,0.2725,0.25987,0.18149,1.50914,3.01218,0.01716,0.000995278,0.000995278,0.000995278
13,747.341,0.97219,0.60278,0.00199,0.22489,0.41061,0.22907,0.16522,1.44682,3.3893,0.0168,0.000994383,0.000994383,0.000994383
14,802.468,0.96536,0.56138,0.00197,0.48043,0.2928,0.26372,0.19234,1.41097,2.82653,0.01016,0.00099341,0.00099341,0.00099341
15,858.142,0.95922,0.562,0.00197,0.41933,0.34083,0.28381,0.20605,1.41474,2.56161,0.01466,0.000992359,0.000992359,0.000992359
16,913.727,0.94765,0.53004,0.00192,0.46163,0.36699,0.32388,0.23694,1.40966,2.67019,0.01562,0.000991232,0.000991232,0.000991232
17,968.899,0.91251,0.50579,0.00184,0.47842,0.34467,0.30109,0.22284,1.39497,2.69101,0.01469,0.000990028,0.000990028,0.000990028
18,1024.58,0.90851,0.52307,0.00182,0.48528,0.43265,0.35709,0.25044,1.51139,2.33554,0.01721,0.000988748,0.000988748,0.000988748
19,1079.9,0.9271,0.57126,0.00189,0.4357,0.33745,0.32044,0.23196,1.38028,2.45471,0.0122,0.000987391,0.000987391,0.000987391
20,1135.44,0.94676,0.52579,0.00193,0.44808,0.39655,0.32417,0.2435,1.38164,2.39713,0.01674,0.000985958,0.000985958,0.000985958
21,1190.58,0.92704,0.51292,0.00186,0.45165,0.30735,0.28012,0.19247,1.51299,2.85288,0.01464,0.000984449,0.000984449,0.000984449
22,1246.24,0.91427,0.51196,0.00183,0.46416,0.34641,0.31368,0.22614,1.43644,2.59749,0.01634,0.000982864,0.000982864,0.000982864
23,1301.34,0.90554,0.49307,0.00184,0.4544,0.29375,0.28078,0.20561,1.37889,2.86591,0.01365,0.000981204,0.000981204,0.000981204
24,1356.82,0.8977,0.50509,0.00181,0.42725,0.28352,0.27484,0.19175,1.42155,2.69744,0.01047,0.000979468,0.000979468,0.000979468
25,1412.41,0.88397,0.5071,0.00177,0.45409,0.34576,0.27832,0.20245,1.38921,2.62899,0.01391,0.000977658,0.000977658,0.000977658
26,1467.5,0.88414,0.47938,0.0018,0.46793,0.36506,0.30653,0.22107,1.44658,2.65002,0.01542,0.000975773,0.000975773,0.000975773
