epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.739,1.80398,3.81129,0.00428,0.15637,0.11532,0.02337,0.01148,2.09732,5.93629,0.00747,0.000199174,0.000199174,0.0802818
2,291.888,1.47706,1.6504,0.00332,0.27638,0.30176,0.2042,0.12084,1.55131,2.89689,0.00534,0.000399163,0.000399163,0.0604818
3,435.854,1.31417,1.28524,0.00288,0.33986,0.39622,0.30457,0.19549,1.43544,2.63363,0.0047,0.000599109,0.000599109,0.0406818
4,580.376,1.27768,1.16278,0.00279,0.42833,0.37477,0.34457,0.21881,1.50389,2.8804,0.00492,0.000798978,0.000798978,0.0208816
5,723.797,1.23223,1.03695,0.00267,0.39749,0.4295,0.36742,0.23727,1.39634,2.44856,0.00464,0.00099874,0.00099874,0.00108138
6,866.493,1.16902,0.92936,0.0025,0.59634,0.40693,0.40353,0.2623,1.38654,2.39393,0.00463,0.000999322,0.000999322,0.000999322
7,1008.85,1.1504,0.8654,0.00248,0.502,0.41797,0.40907,0.2718,1.41458,2.36215,0.00468,0.000999023,0.000999023,0.000999023
8,1151.88,1.11998,0.81611,0.00241,0.46409,0.39959,0.37715,0.24349,1.49472,2.44663,0.00474,0.000998671,0.000998671,0.000998671
9,1293.96,1.08447,0.77291,0.0023,0.51642,0.47169,0.46855,0.30989,1.30201,1.98746,0.00425,0.000998264,0.000998264,0.000998264
10,1436.95,1.06076,0.73601,0.00228,0.4609,0.46887,0.45638,0.30244,1.28814,2.31954,0.00431,0.000997803,0.000997803,0.000997803
11,1579.5,1.05641,0.73765,0.00228,0.5197,0.47864,0.4826,0.32569,1.32338,2.09849,0.00435,0.000997288,0.000997288,0.000997288
12,1723.03,1.0198,0.6902,0.00217,0.4932,0.45241,0.44614,0.2919,1.35372,2.29489,0.00431,0.00099672,0.00099672,0.00099672
13,1866.63,1.02601,0.67299,0.00216,0.53597,0.46151,0.45109,0.31045,1.27623,2.49991,0.0042,0.000996097,0.000996097,0.000996097
14,2010.49,1.02633,0.6673,0.00216,0.50884,0.44458,0.46645,0.30653,1.33834,2.20721,0.00427,0.00099542,0.00099542,0.00099542
15,2154.17,0.99588,0.63693,0.00208,0.49863,0.47432,0.46045,0.31315,1.27507,2.23917,0.00414,0.00099469,0.00099469,0.00099469
16,2296.7,0.98738,0.62071,0.00209,0.51489,0.47679,0.4812,0.33625,1.25496,2.12289,0.00394,0.000993906,0.000993906,0.000993906
17,2432.49,0.98416,0.60009,0.00205,0.48078,0.48453,0.46311,0.31912,1.26445,2.39306,0.00414,0.000993068,0.000993068,0.000993068
18,2566.13,0.97781,0.60953,0.00203,0.5053,0.48047,0.47043,0.32153,1.26943,2.25739,0.00426,0.000992177,0.000992177,0.000992177
19,2700.31,0.95421,0.59232,0.002,0.50175,0.48985,0.46923,0.33047,1.21439,2.17397,0.00407,0.000991232,0.000991232,0.000991232
