epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9189,1.51367,5.46267,0.00311,0.02935,0.0012,0.00021,0.00011,1.73654,5.88233,0.00769,1.98165e-05,1.98165e-05,0.0802033
2,131.498,1.30466,2.03293,0.00261,0.12886,0.32781,0.07563,0.05772,1.1013,4.13466,0.00506,3.9815e-05,3.9815e-05,0.0602233
3,186.156,1.22302,1.7055,0.00238,0.20579,0.1458,0.11642,0.08222,1.20112,3.36439,0.00544,5.98072e-05,5.98072e-05,0.0402433
4,241.245,1.1396,1.39551,0.00226,0.35158,0.24369,0.2487,0.19008,0.97573,2.7656,0.00441,7.97884e-05,7.97884e-05,0.0202633
5,295.251,1.13318,1.25478,0.00221,0.175,0.63492,0.3084,0.2417,0.97846,2.96672,0.00435,9.97541e-05,9.97541e-05,0.00028324
6,349.451,1.06573,1.12052,0.00206,0.49187,0.27132,0.32316,0.24623,1.06569,2.73353,0.00484,9.99023e-05,9.99023e-05,9.99023e-05
7,403.797,1.04456,1.01643,0.00203,0.38647,0.3149,0.27012,0.20579,1.12262,3.22333,0.00523,9.98594e-05,9.98594e-05,9.98594e-05
8,457.686,1.06249,0.99936,0.00204,0.57011,0.30041,0.36386,0.27845,1.04969,2.74086,0.00469,9.98086e-05,9.98086e-05,9.98086e-05
9,511.986,1.03001,0.91787,0.00198,0.57198,0.29335,0.36816,0.27633,1.043,2.75172,0.00467,9.97501e-05,9.97501e-05,9.97501e-05
10,566.113,0.99934,0.85136,0.00189,0.60084,0.30444,0.37663,0.2801,1.0675,2.82902,0.0049,9.96838e-05,9.96838e-05,9.96838e-05
11,619.947,0.98782,0.82855,0.00186,0.62236,0.34536,0.43997,0.34165,0.99554,2.51443,0.00432,9.96097e-05,9.96097e-05,9.96097e-05
12,674.085,0.98741,0.78824,0.00187,0.27814,0.60961,0.38479,0.29765,1.00889,2.97298,0.00439,9.95278e-05,9.95278e-05,9.95278e-05
13,728.257,0.97481,0.7857,0.00186,0.61233,0.37652,0.44213,0.3419,1.00332,2.52523,0.00449,9.94383e-05,9.94383e-05,9.94383e-05
14,782,0.97038,0.75929,0.00182,0.28404,0.58219,0.38414,0.29218,1.04236,3.08478,0.00482,9.9341e-05,9.9341e-05,9.9341e-05
15,835.93,0.99048,0.72988,0.00186,0.64868,0.3324,0.43925,0.33812,1.02254,2.69389,0.0046,9.92359e-05,9.92359e-05,9.92359e-05
16,890.045,0.94922,0.71499,0.00177,0.31458,0.58398,0.39408,0.30187,1.04255,3.08114,0.00463,9.91232e-05,9.91232e-05,9.91232e-05
17,943.685,0.94836,0.69148,0.00181,0.61814,0.38985,0.45963,0.35173,1.01348,2.44422,0.00461,9.90028e-05,9.90028e-05,9.90028e-05
18,997.762,0.93603,0.68357,0.00179,0.29422,0.54312,0.34773,0.25764,1.10537,3.27763,0.00502,9.88748e-05,9.88748e-05,9.88748e-05
19,1051.81,0.92381,0.66245,0.00175,0.40472,0.55199,0.43337,0.33163,1.02303,2.82293,0.00468,9.87391e-05,9.87391e-05,9.87391e-05
20,1105.34,0.89258,0.65044,0.00169,0.65352,0.28865,0.36481,0.27159,1.15485,3.08189,0.00552,9.85958e-05,9.85958e-05,9.85958e-05
21,1159.46,0.89757,0.64577,0.0017,0.30202,0.61323,0.4125,0.31153,1.03125,2.95623,0.00483,9.84449e-05,9.84449e-05,9.84449e-05
22,1213.65,0.88939,0.64315,0.00167,0.32974,0.59726,0.39973,0.30641,1.02564,3.03069,0.00471,9.82864e-05,9.82864e-05,9.82864e-05
23,1267.32,0.87397,0.631,0.00163,0.34182,0.6356,0.4505,0.34605,1.05134,2.84195,0.00482,9.81204e-05,9.81204e-05,9.81204e-05
24,1321.45,0.88918,0.61801,0.00168,0.36076,0.53594,0.37569,0.28874,1.04077,3.29349,0.00481,9.79468e-05,9.79468e-05,9.79468e-05
25,1375.62,0.87236,0.61703,0.00163,0.34856,0.54077,0.36333,0.2766,1.05321,3.32336,0.00486,9.77658e-05,9.77658e-05,9.77658e-05
26,1429.34,0.86866,0.61606,0.00164,0.35183,0.57761,0.41082,0.31772,1.01715,3.11371,0.00475,9.75773e-05,9.75773e-05,9.75773e-05
27,1483.55,0.87704,0.60128,0.00165,0.36414,0.56866,0.39855,0.31133,0.98389,3.19205,0.00457,9.73814e-05,9.73814e-05,9.73814e-05
28,1537.67,0.85962,0.58489,0.0016,0.34791,0.56149,0.40166,0.30487,1.09566,3.1644,0.00512,9.7178e-05,9.7178e-05,9.7178e-05
29,1591.33,0.84566,0.56301,0.00157,0.50349,0.49202,0.43185,0.32872,1.0441,2.90784,0.00485,9.69673e-05,9.69673e-05,9.69673e-05
30,1645.41,0.85693,0.60418,0.00158,0.65479,0.35237,0.4399,0.30299,1.23944,2.75566,0.00596,9.67493e-05,9.67493e-05,9.67493e-05
31,1699.63,0.84663,0.58761,0.00157,0.39198,0.63597,0.46145,0.36002,0.99715,2.92126,0.00458,9.65239e-05,9.65239e-05,9.65239e-05
32,1753.43,0.83871,0.54853,0.00156,0.39786,0.56969,0.40535,0.3123,1.003,3.1597,0.00463,9.62913e-05,9.62913e-05,9.62913e-05
33,1807.67,0.82287,0.54764,0.00154,0.40525,0.47466,0.33704,0.24705,1.13242,3.63329,0.00541,9.60515e-05,9.60515e-05,9.60515e-05
34,1861.76,0.85007,0.56744,0.00157,0.38837,0.58956,0.43813,0.33562,1.04078,3.03931,0.00497,9.58044e-05,9.58044e-05,9.58044e-05
35,1915.38,0.84154,0.54963,0.00156,0.35924,0.60102,0.4361,0.33192,1.02945,2.96722,0.0048,9.55502e-05,9.55502e-05,9.55502e-05
36,1969.3,0.83839,0.55295,0.00156,0.41033,0.58732,0.42877,0.3381,0.97886,3.06791,0.00456,9.52889e-05,9.52889e-05,9.52889e-05
37,2023.38,0.84119,0.53995,0.00157,0.42195,0.50503,0.37564,0.29756,0.97402,3.45842,0.00443,9.50206e-05,9.50206e-05,9.50206e-05
38,2076.92,0.81588,0.52618,0.00152,0.41409,0.55614,0.40026,0.31112,0.99307,3.25015,0.00453,9.47452e-05,9.47452e-05,9.47452e-05
39,2130.91,0.81725,0.51291,0.0015,0.40309,0.51756,0.38903,0.30217,1.06201,3.35229,0.00491,9.44628e-05,9.44628e-05,9.44628e-05
40,2184.97,0.82338,0.52486,0.00153,0.43433,0.49796,0.38125,0.29926,1.01532,3.46706,0.00471,9.41734e-05,9.41734e-05,9.41734e-05
41,2238.51,0.80119,0.496,0.0015,0.3877,0.61582,0.46265,0.36624,0.96339,2.92407,0.0044,9.38772e-05,9.38772e-05,9.38772e-05
42,2292.68,0.81001,0.52917,0.00148,0.38996,0.58303,0.4378,0.34046,0.98182,3.07647,0.00451,9.35741e-05,9.35741e-05,9.35741e-05
43,2346.73,0.80851,0.51272,0.0015,0.40347,0.53457,0.40717,0.3146,1.03644,3.28196,0.00483,9.32642e-05,9.32642e-05,9.32642e-05
44,2400.31,0.79819,0.50667,0.00146,0.41325,0.56225,0.42857,0.33801,0.96605,3.13851,0.00438,9.29476e-05,9.29476e-05,9.29476e-05
45,2454.32,0.79199,0.4724,0.00147,0.63591,0.44233,0.48674,0.37538,1.00326,2.75205,0.00462,9.26242e-05,9.26242e-05,9.26242e-05
46,2508.45,0.80162,0.49314,0.00147,0.38293,0.62559,0.48049,0.3794,0.96061,2.85379,0.00437,9.22942e-05,9.22942e-05,9.22942e-05
47,2562.07,0.7906,0.48476,0.00147,0.433,0.56004,0.43006,0.33564,0.99097,3.22383,0.00458,9.19576e-05,9.19576e-05,9.19576e-05
48,2616.02,0.76988,0.48456,0.00141,0.41655,0.55961,0.42383,0.32679,1.01151,3.22497,0.0047,9.16145e-05,9.16145e-05,9.16145e-05
49,2670.17,0.79662,0.50402,0.00145,0.47733,0.49985,0.39325,0.31315,0.96814,3.50654,0.00442,9.12649e-05,9.12649e-05,9.12649e-05
50,2723.78,0.77651,0.48687,0.00141,0.43586,0.57139,0.43929,0.34439,0.97864,3.14594,0.00454,9.09088e-05,9.09088e-05,9.09088e-05
51,2777.8,0.78289,0.48529,0.00143,0.43316,0.59216,0.46401,0.36201,0.98335,3.00614,0.00451,9.05463e-05,9.05463e-05,9.05463e-05
52,2831.87,0.78889,0.48237,0.00145,0.48309,0.51862,0.40761,0.31913,0.9687,3.44353,0.00446,9.01776e-05,9.01776e-05,9.01776e-05
53,2885.54,0.77373,0.49186,0.00142,0.42665,0.51865,0.38661,0.30467,0.96053,3.42635,0.00437,8.98025e-05,8.98025e-05,8.98025e-05
54,2939.54,0.76211,0.48189,0.00139,0.47023,0.47793,0.36216,0.28664,0.94084,3.60174,0.00437,8.94213e-05,8.94213e-05,8.94213e-05
55,2993.63,0.76929,0.47571,0.0014,0.44775,0.54691,0.42285,0.32822,0.97616,3.27054,0.00451,8.90339e-05,8.90339e-05,8.90339e-05
56,3047.27,0.78335,0.47782,0.00142,0.43362,0.60026,0.46307,0.36142,0.98187,3.00292,0.00454,8.86404e-05,8.86404e-05,8.86404e-05
57,3101.41,0.76896,0.46712,0.00143,0.40738,0.60552,0.45424,0.35978,0.9495,3.00192,0.0043,8.82409e-05,8.82409e-05,8.82409e-05
58,3155.53,0.74975,0.44938,0.00137,0.47936,0.575,0.44732,0.34748,1.00852,3.20599,0.00467,8.78354e-05,8.78354e-05,8.78354e-05
59,3209.25,0.75401,0.44069,0.00139,0.4075,0.59935,0.45987,0.34881,1.03504,3.0342,0.00492,8.74241e-05,8.74241e-05,8.74241e-05
60,3263.43,0.77101,0.459,0.00142,0.4481,0.54806,0.42454,0.33339,0.9875,3.21857,0.0046,8.70069e-05,8.70069e-05,8.70069e-05
61,3317.61,0.75305,0.43079,0.00137,0.43602,0.54406,0.41993,0.331,1.0121,3.22745,0.00474,8.65839e-05,8.65839e-05,8.65839e-05
62,3371.13,0.75031,0.44643,0.00138,0.44923,0.59568,0.46929,0.37266,0.94421,2.97778,0.00435,8.61553e-05,8.61553e-05,8.61553e-05
63,3425.12,0.73847,0.4282,0.00137,0.4649,0.57359,0.44883,0.35218,0.98279,3.11946,0.00447,8.5721e-05,8.5721e-05,8.5721e-05
64,3479.2,0.73494,0.42979,0.00135,0.41317,0.63254,0.47929,0.37579,0.97203,2.85708,0.00446,8.52812e-05,8.52812e-05,8.52812e-05
65,3532.71,0.75164,0.44792,0.00135,0.43201,0.57697,0.44964,0.34725,1.01337,3.04384,0.00467,8.48358e-05,8.48358e-05,8.48358e-05
66,3586.72,0.74683,0.43686,0.00137,0.40291,0.66651,0.52283,0.40519,1.00061,2.63414,0.00462,8.43851e-05,8.43851e-05,8.43851e-05
67,3640.85,0.73996,0.4231,0.00134,0.48444,0.54369,0.42817,0.34107,0.96293,3.23679,0.00435,8.3929e-05,8.3929e-05,8.3929e-05
68,3694.38,0.74501,0.42433,0.00136,0.41591,0.65222,0.51298,0.40687,0.93704,2.70761,0.00422,8.34676e-05,8.34676e-05,8.34676e-05
69,3748.49,0.7399,0.4322,0.00137,0.43331,0.59597,0.46212,0.35728,1.01499,3.02393,0.00477,8.3001e-05,8.3001e-05,8.3001e-05
70,3802.68,0.74879,0.41501,0.00137,0.45775,0.54959,0.42974,0.33684,0.99811,3.23806,0.00465,8.25293e-05,8.25293e-05,8.25293e-05
71,3856.31,0.74955,0.42975,0.00136,0.43414,0.58321,0.45221,0.35807,0.95415,3.02935,0.00432,8.20525e-05,8.20525e-05,8.20525e-05
72,3910.39,0.73855,0.41739,0.00135,0.4453,0.56973,0.45122,0.35753,0.97311,3.09857,0.00442,8.15707e-05,8.15707e-05,8.15707e-05
73,3964.48,0.74621,0.43306,0.00135,0.41956,0.606,0.4715,0.37515,0.94678,2.89963,0.00431,8.10841e-05,8.10841e-05,8.10841e-05
74,4018.19,0.75026,0.45218,0.00137,0.43698,0.5608,0.43462,0.34052,0.98374,3.16836,0.00454,8.05925e-05,8.05925e-05,8.05925e-05
75,4072.24,0.73091,0.41874,0.00134,0.44283,0.56012,0.44167,0.34559,0.97192,3.13257,0.00447,8.00963e-05,8.00963e-05,8.00963e-05
76,4126.34,0.74794,0.43265,0.00136,0.45222,0.55887,0.43392,0.33197,1.02211,3.20077,0.00482,7.95954e-05,7.95954e-05,7.95954e-05
77,4180,0.72221,0.40602,0.00129,0.4563,0.54331,0.42546,0.32005,1.07306,3.20722,0.00503,7.90898e-05,7.90898e-05,7.90898e-05
78,4234.13,0.76199,0.43769,0.00141,0.41322,0.62715,0.50265,0.39859,0.96718,2.74432,0.00442,7.85798e-05,7.85798e-05,7.85798e-05
