epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3388,1.51276,5.25383,0.00311,0.12515,0.10247,0.03031,0.01657,1.59024,4.79545,0.00677,0.000198165,0.000198165,0.0803817
2,130.324,1.27986,1.62779,0.00256,0.48072,0.32173,0.3155,0.21972,1.13725,2.54572,0.00521,0.00039815,0.00039815,0.0605816
3,183.989,1.20921,1.25938,0.00236,0.57158,0.44562,0.49725,0.36925,1.05449,2.04043,0.00483,0.000598072,0.000598072,0.0407816
4,238.572,1.1702,1.10929,0.00232,0.61222,0.394,0.48392,0.33936,1.22077,2.33735,0.00562,0.000797884,0.000797884,0.0209814
5,291.861,1.17802,1.07443,0.00231,0.32351,0.66342,0.47385,0.33035,1.249,2.83316,0.00621,0.000997541,0.000997541,0.00118103
6,345.218,1.10882,0.9389,0.00216,0.68151,0.48584,0.57334,0.41863,1.15814,2.07992,0.00547,0.000999023,0.000999023,0.000999023
7,398.663,1.08569,0.86176,0.0021,0.59642,0.31825,0.36868,0.24866,1.40012,2.91332,0.00684,0.000998594,0.000998594,0.000998594
8,451.644,1.10697,0.86393,0.00212,0.7313,0.3519,0.47621,0.36802,1.09033,2.81972,0.00494,0.000998086,0.000998086,0.000998086
9,505.026,1.08194,0.79011,0.0021,0.58975,0.51238,0.50019,0.36061,1.24509,2.82825,0.00558,0.000997501,0.000997501,0.000997501
10,558.533,1.07197,0.75053,0.00204,0.41028,0.56265,0.45342,0.32993,1.20839,3.10824,0.00588,0.000996838,0.000996838,0.000996838
11,611.563,1.05831,0.74831,0.002,0.58695,0.45593,0.50672,0.32944,1.47616,2.40724,0.00655,0.000996097,0.000996097,0.000996097
12,664.946,1.04653,0.74768,0.00197,0.70561,0.51136,0.59104,0.42215,1.24799,2.07689,0.00579,0.000995278,0.000995278,0.000995278
13,718.367,1.01253,0.69813,0.00194,0.72671,0.38737,0.48367,0.33128,1.33573,2.69606,0.00643,0.000994383,0.000994383,0.000994383
14,771.337,1.02298,0.67178,0.00193,0.7288,0.44327,0.54143,0.37735,1.26107,2.61758,0.00601,0.00099341,0.00099341,0.00099341
15,824.63,1.04765,0.67337,0.00197,0.36764,0.60798,0.46446,0.33823,1.22562,2.92741,0.00593,0.000992359,0.000992359,0.000992359
16,878.034,1.01037,0.65686,0.00189,0.74186,0.48041,0.59095,0.41896,1.23266,2.135,0.0057,0.000991232,0.000991232,0.000991232
17,931.03,1.01821,0.67744,0.00195,0.67435,0.43034,0.53399,0.39904,1.133,2.27118,0.00511,0.000990028,0.000990028,0.000990028
18,984.465,1.01112,0.66069,0.00194,0.74169,0.41285,0.54116,0.38004,1.30144,2.44386,0.00634,0.000988748,0.000988748,0.000988748
19,1037.95,1.00384,0.6156,0.00192,0.73677,0.37158,0.48061,0.33137,1.36135,2.71756,0.00655,0.000987391,0.000987391,0.000987391
20,1090.98,0.98957,0.59858,0.00187,0.73852,0.42987,0.55163,0.42131,1.0823,2.42388,0.005,0.000985958,0.000985958,0.000985958
21,1144.42,0.99479,0.62533,0.00189,0.67733,0.35425,0.43091,0.29672,1.37708,2.67808,0.00678,0.000984449,0.000984449,0.000984449
